surface	value	status
upstream_commit	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	pass
upstream_tree	05d2c8425ab8587abf401fa5976a08d008fdd719	pass
historical_branch	riscy/k1x-yolo26-hardening-001	pass
historical_head	1c4168daf354f1e3afd56105c1b9ff44a25dd91e	pass
clean_release_branch	riscy/k1x-yolo26-hardening-release-001	pass
clean_release_head	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass
clean_release_tree	9ebb21ae2277cf760ed436692c7bc6343ca88d31	pass
old_local_tag_object	b2c2f9216e0527779bfcf7aa0c0960a3d8be81bd	retained_unpublished
old_local_tag_peeled	6765abc00e9d8dc93e468be0cbc7c188aefdccdb	retained_unpublished
clean_release_worktree	clean	pass
