component	relationship	captured_version	license_expression_or_declaration	distributed_in_release
OpenPPL PPQ	embedded source derivative	upstream snapshot	Apache-2.0	yes
NumPy	external dependency	2.5.1	BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0	no
protobuf	external dependency	6.33.5	BSD-3-Clause	no
PyTorch	external dependency	2.10.0+cpu	BSD-3-Clause	no
torchvision	external dependency	0.25.0+cpu	BSD-3-Clause	no
tqdm	external dependency	4.67.3	MPL-2.0 AND MIT	no
pandas	external dependency	3.0.0	BSD-3-Clause	no
opencv-python	external dependency	4.13.0.90	Apache-2.0	no
ONNX	external dependency	1.21.0	Apache-2.0	no
tabulate	external dependency	0.9.0	MIT	no
ONNX Runtime	external dependency	1.24.3	MIT	no
ONNX GraphSurgeon	external dependency	0.6.1	Apache-2.0	no
onnxconverter-common	external dependency	1.16.0	MIT	no
Loguru	external dependency	0.7.3	MIT	no
OnnxSlim	external dependency	0.1.87	MIT	no
